sampleID	SRR10070130	SRR10070131	SRR10070134	SRR10070135	SRR10070136	SRR10070137	SRR10070148	SRR10070149	SRR10070150	SRR10070151	SRR10070152	SRR10070153	SRR10102389	SRR10102390	SRR10102391	SRR10102392	SRR10102393	SRR10102394
 Treatment	RiverWater	RiverWater	RiverWater	RiverWater	RiverWater	RiverWater	Sediment	Sediment	Sediment	Sediment	Sediment	Sediment	Soil	Soil	Soil	Soil	Soil	Soil# Constructed from biom file
#OTU ID	SRR10070130	SRR10070131	SRR10070134	SRR10070135	SRR10070136	SRR10070137	SRR10070148	SRR10070149	SRR10070150	SRR10070151	SRR10070152	SRR10070153	SRR10102389	SRR10102390	SRR10102391	SRR10102392	SRR10102393	SRR10102394
329b2b62675f92ff1274e78f1ed50531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	18.0
bb7f85879d3368b4cb7312e19bddcd5c	18.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fba11e8d7823756872b38d16287f63a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	11.0	26.0
0c44bffe876dbc3289d69bac732d6faa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	15.0	0.0	0.0	0.0	0.0
3213a9aa22b85714954050c1aa833f16	0.0	0.0	0.0	0.0	0.0	0.0	49.0	32.0	35.0	0.0	26.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
bb125570104a3c942e6e091910ff6c9b	0.0	0.0	0.0	14.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6ddf3a2a222431230dcb4c1b8232267a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	21.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22e78dd80696fc39059a1d4f4f83ce4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	85.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03bafc61337bc88adb8c6f8e34feedb7	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
2e3e3838c38762ec527cd8ef38962ae6	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
f4e02ec0242b8d3731f2eb480154c315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	84.0	98.0
d73cce916949e8fb8a3ad081dafa88e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
a483e066cacb23c4f7e40f57dc9f3d9b	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	25.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
3901de24790022354e81db3f6ee6c08c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	33.0	0.0
e5584a38336b44ee9c9c098a6a7864a2	22.0	11.0	20.0	9.0	26.0	14.0	103.0	101.0	89.0	97.0	94.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0
757c10b6b18a96b10514294f142f55de	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	48.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
cd35e7c23f9e2eaa575d24fd02cecd17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37046b7c84773ace51c3587a8f55087b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	16.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0604d93e773613c70e7de3a14ddda561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
8e51015d11dd46df43b7e1e741bcc96a	0.0	18.0	0.0	26.0	0.0	21.0	22.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
e479907eb4d1930d253721d59ae5bfe2	0.0	0.0	0.0	0.0	0.0	0.0	30.0	19.0	26.0	20.0	29.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
52dc559bce2ff357fdb94d28dbbc287d	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	22.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
b427b922a5431c16a6a8e0de128684ff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bb6c68e94b819d295595d5e16e170a54	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	22.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
2d4bacabe593dd44ef122d01b2f02b28	0.0	0.0	0.0	0.0	0.0	0.0	26.0	26.0	35.0	30.0	36.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
b7b7e3f91263224beee15939f9193c46	0.0	0.0	0.0	29.0	25.0	27.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
ad2ea1dc7387ae21d7a3011ee12cc3cd	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04fa0b7f333246abca4246ac655b046c	0.0	0.0	0.0	0.0	0.0	0.0	53.0	49.0	67.0	38.0	60.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0
113e5cb2dbb0b2086e230fc9d845310f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	56.0	0.0	0.0	0.0
6eab7d16e59eafa6776d0aa0f444304c	0.0	0.0	0.0	0.0	0.0	0.0	87.0	79.0	136.0	159.0	91.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0
97a23aa40ced2b92f472884e737932b5	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	21.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
bdb30e3821ff220668cefb20d654088e	0.0	0.0	0.0	0.0	0.0	0.0	40.0	56.0	92.0	86.0	26.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
a2b259df982581ad88832115e4a5fd89	0.0	0.0	0.0	0.0	0.0	0.0	40.0	14.0	0.0	0.0	28.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0
ceabeb1a70d2f93d60525c568fa9da9c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f6421dfbd16ab420d728d65a8225fe48	0.0	0.0	53.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8678fa3a06998220d4612e2c31b51f03	78.0	86.0	69.0	36.0	46.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
763ee20cbab0f5315ab137f0ad08e097	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	15.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
2308b53c0d1c7958976087932aacbc13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	33.0	26.0
750b6c11b52f79118285b8766f8fc593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	38.0	13.0	19.0	29.0	29.0
b6a3e051798e15348cfe472b490c67bc	37.0	42.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6db266e9f31ef6259150763d1eb1f080	0.0	9.0	0.0	16.0	29.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46c7004979d35d305e2be355ead40800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	88.0	72.0
23a4b6bc2c58466eb2b87814a8ebbbf7	50.0	29.0	54.0	147.0	109.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0323fa720706eeab2366d96795c91ec7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	29.0	19.0
0a01d9e07c4d6a5bef56c21e5ddc44c9	17.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aa44950ccbbb9af6dfac88e53954faaf	0.0	0.0	0.0	0.0	0.0	0.0	13.0	14.0	11.0	14.0	9.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
